id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession,assets_ns,liabilities_ns,cases_ns,serious_cases_ns,income_ns,gender_encoded,house_encoded,education_encoded
668,Rajya Sabha,Uttar Pradesh,2018-2024,Harnath Singh Yadao,BJP,77,M,10230873,0,0,0,Graduate,Y,402862,Agriculturist and Pensioner (Uttar Pradesh Legislative Council Rs. 44200/- Per month),0.00019036436363107395,0.0,0.0,0.0,0.00015369931763598873,1,1,5
669,Lok Sabha,Uttarakhand,Almora,Ajay Tamta,BJP,46,M,9910448,55845,0,0,12th Pass,Y,649744,"Member of Parliament, Transporter",0.0001843188382448247,2.6620808992299053e-05,0.0,0.0,0.00024788937511623793,1,0,1
670,Rajya Sabha,West Bengal,2018-2024,Subhasish Chakraborty,AITC,60,M,9834967,1897600,0,0,Graduate Professional,Y,1450971,Advocate,0.00018289472245585855,0.0009045688449061991,0.0,0.0,0.0005535723215632355,1,1,6
671,Rajya Sabha,Tamil Nadu,2019-2025,M. Shanmugam,DMK,79,M,9666865,471058,0,0,10th Pass,Y,0,Agriculture,0.00017972310691874603,0.00022454910989872697,0.0,0.0,0.0,1,1,0
672,Lok Sabha,West Bengal,Cooch Behar,Sri Nisith Pramanik,BJP,33,M,9629810,0,11,21,8th Pass,Y,1063615,Assitant Teacher of a Primary School,0.00017902398249590928,0.0,0.05392156862745098,0.3818181818181818,0.00040578883023815137,1,0,3
673,Lok Sabha,Odisha,Kalahandi,Basanta Kumar Panda,BJP,58,M,9547000,0,3,7,12th Pass,Y,1259500,MLA and Social service and Cultivation,0.00017746158893349904,0.0,0.014705882352941176,0.12727272727272726,0.00048052258729422924,1,0,1
674,Rajya Sabha,Assam,2020-2026,Ajit Kumar Bhuyan,IND,66,M,9333060,1750000,10,0,Graduate,Y,1152759,Journalist,0.00017342513827848098,0.0008342092530490348,0.049019607843137254,0.0,0.000439798917988653,1,1,5
675,Rajya Sabha,Himachal Pradesh,2020-2026,Indu Bala Goswami,BJP,53,F,9294910,1582847,0,0,Graduate,Y,681400,"Director, Parmarth International School, Baijnath,Tehsil Baijnath, District Kangra, H.P. Pin Code 176125",0.00017270535426198598,0.0007545289220348031,0.0,0.0,0.0002599667256707327,0,1,5
676,Lok Sabha,Tamil Nadu,Chidambaram,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,56,M,9244092,394248,3,4,Doctorate,Y,200000,POLITICAL,0.00017174656044415524,0.00018793447405490048,0.014705882352941176,0.07272727272727272,7.630370580297408e-05,1,0,4
677,Rajya Sabha,West Bengal,2023-2029,Samirul Islam,AITC,36,M,8971070,380437,0,0,Post Graduate,Y,582670,"Assistant Professor, Andrews College, Kolkata",0.00016659539735761533,0.0001813508946298375,0.0,0.0,0.00022229940130109453,1,1,10
